scenario_id,asset_id,route_id,stage_id,stage_time_hours_mean,stage_time_hours_p50,stage_order_hint,cell_total_stage_time_mean,stage_time_share_pct
BASELINE,PRIVATE_CREDIT,TOKENIZED,SERVICING_REPORTING,7.335380341731651,4.4154140952974394,8.0,2007.6125299147932,0.36537829050324655
BASELINE,PRIVATE_CREDIT,TOKENIZED,TRANSFERABILITY,10.938057057282798,7.950435795218198,9.0,2007.6125299147932,0.5448290889949281
BASELINE,PRIVATE_CREDIT,TOKENIZED,EXIT_INITIATION,1801.1805083679792,1800.2,10.0,2007.6125299147932,89.71753670238472
BASELINE,PRIVATE_CREDIT,TOKENIZED,REDEMPTION_PROCESSING,60.21644389742236,49.87416297975535,11.0,2007.6125299147932,2.999405662206046
STRESS,TBILL_MMF,TRADFI,ONBOARDING,15.998974733164847,15.082969295272349,1.0,677.5886559682151,2.3611633093685294
STRESS,TBILL_MMF,TRADFI,KYC_REVIEW,279.30433378370685,279.516903345267,2.0,677.5886559682151,41.22033793269536
STRESS,TBILL_MMF,TRADFI,ELIGIBILITY_GATE,12.910439976038703,11.960926969456109,3.0,677.5886559682151,1.9053506670047196
STRESS,TBILL_MMF,TRADFI,ORDER_PLACEMENT,0.35,0.35,4.0,677.5886559682151,0.051653757322704955
STRESS,TBILL_MMF,TRADFI,EXECUTION,0.06999999999999999,0.06999999999999999,5.0,677.5886559682151,0.01033075146454099
STRESS,TBILL_MMF,TRADFI,CLEARING_SETTLEMENT,44.113821705462385,40.428734990989454,6.0,677.5886559682151,6.510413259860082
STRESS,TBILL_MMF,TRADFI,CUSTODY_RECORDING,9.3615646172395,7.532421520326752,7.0,677.5886559682151,1.3815999625706012
STRESS,TBILL_MMF,TRADFI,SERVICING_REPORTING,2.4590780999050312,2.339714686945353,8.0,677.5886559682151,0.36291606688592254
STRESS,TBILL_MMF,TRADFI,TRANSFERABILITY,118.6187460434065,112.67362330961834,9.0,677.5886559682151,17.50601120585625
STRESS,TBILL_MMF,TRADFI,EXIT_INITIATION,0.35,0.35,10.0,677.5886559682151,0.051653757322704955
STRESS,TBILL_MMF,TRADFI,REDEMPTION_PROCESSING,194.0516970092913,204.11207146647388,11.0,677.5886559682151,28.638569329648583
STRESS,TBILL_MMF,TOKENIZED,ONBOARDING,0.525064690433732,0.48592198920933294,1.0,471.12980606668157,0.11144798814945213
STRESS,TBILL_MMF,TOKENIZED,KYC_REVIEW,256.04779759428914,257.13980038886353,2.0,471.12980606668157,54.34761169792116
STRESS,TBILL_MMF,TOKENIZED,ELIGIBILITY_GATE,10.915931580354219,10.031312691380919,3.0,471.12980606668157,2.3169690051003116
STRESS,TBILL_MMF,TOKENIZED,ORDER_PLACEMENT,0.24,0.24,4.0,471.12980606668157,0.05094137473569896
STRESS,TBILL_MMF,TOKENIZED,EXECUTION,0.06,0.06,5.0,471.12980606668157,0.01273534368392474
STRESS,TBILL_MMF,TOKENIZED,CLEARING_SETTLEMENT,0.08924325722388027,0.0760947295478545,6.0,471.12980606668157,0.01894239253698357
STRESS,TBILL_MMF,TOKENIZED,CUSTODY_RECORDING,4.176855556618515,3.8980627475919207,7.0,471.12980606668157,0.8865615171941258
STRESS,TBILL_MMF,TOKENIZED,SERVICING_REPORTING,5.002183673023541,1.7345312455554538,8.0,471.12980606668157,1.0617421374345302
STRESS,TBILL_MMF,TOKENIZED,TRANSFERABILITY,8.514657260560508,4.9009265615672835,9.0,471.12980606668157,1.8072847760677198
STRESS,TBILL_MMF,TOKENIZED,EXIT_INITIATION,1.5571197447472034,0.24,10.0,471.12980606668157,0.33050758510634665
STRESS,TBILL_MMF,TOKENIZED,REDEMPTION_PROCESSING,184.0009527094309,185.52647451392573,11.0,471.12980606668157,39.055256182069755
